0,1,2,3,4,5
100644,Alexander,Zverev,R,19970420.0,GER
103333,Ivo,Karlovic,R,19790228.0,CRO
103819,Roger,Federer,R,19810808.0,SUI
103852,Feliciano,Lopez,L,19810920.0,ESP
103893,Paolo,Lorenzi,R,19811215.0,ITA
103917,Nicolas,Mahut,R,19820121.0,FRA
103970,David,Ferrer,R,19820402.0,ESP
103990,Tommy,Robredo,R,19820501.0,ESP
104122,Carlos,Berlocq,R,19830203.0,ARG
104198,Guillermo,Garcia Lopez,R,19830604.0,ESP
104259,Philipp,Kohlschreiber,R,19831016.0,GER
104269,Fernando,Verdasco,L,19831115.0,ESP
104291,Malek,Jaziri,R,19840120.0,TUN
104297,Rogerio,Dutra Silva,R,19840203.0,BRA
104312,Andreas,Seppi,R,19840221.0,ITA
104327,Steve,Darcis,R,19840313.0,BEL
104386,Janko,Tipsarevic,R,19840622.0,SRB
104424,Go,Soeda,R,19840905.0,JPN
104460,Dustin,Brown,R,19841208.0,GER
104467,Lamine,Ouahab,R,19841222.0,ALG
104468,Gilles,Simon,R,19841227.0,FRA
104527,Stanislas,Wawrinka,R,19850328.0,SUI
104534,Dudi,Sela,R,19850404.0,ISR
104542,Jo Wilfried,Tsonga,R,19850417.0,FRA
104545,John,Isner,R,19850426.0,USA
104563,Luca,Vanni,R,19850604.0,ITA
104571,Marcos,Baghdatis,R,19850617.0,CYP
104586,Lukas,Rosol,R,19850724.0,CZE
104607,Tomas,Berdych,R,19850917.0,CZE
104620,Simone,Bolelli,R,19851008.0,ITA
104629,Adrian,Menendez Maceiras,R,19851028.0,ESP
104655,Pablo,Cuevas,R,19860101.0,URU
104656,Haydn,Lewis,L,19860102.0,BAR
104660,Sergiy,Stakhovsky,R,19860106.0,UKR
104665,Pablo,Andujar,R,19860123.0,ESP
104678,Viktor,Troicki,R,19860210.0,SRB
104719,Marcel,Granollers,R,19860412.0,ESP
104731,Kevin,Anderson,R,19860518.0,RSA
104735,Tobias,Kamke,R,19860521.0,GER
104745,Rafael,Nadal,L,19860603.0,ESP
104755,Richard,Gasquet,R,19860618.0,FRA
104792,Gael,Monfils,R,19860901.0,FRA
104797,Denis,Istomin,R,19860907.0,UZB
104804,Amir,Weintraub,R,19860916.0,ISR
104810,Zhe,Li,R,19860920.0,CHN
104868,James,Ward,R,19870209.0,GBR
104871,Jeremy,Chardy,R,19870212.0,FRA
104897,Matthias,Bachinger,R,19870402.0,GER
104898,Robin,Haase,R,19870406.0,NED
104907,Jose Rubin,Statham,R,19870425.0,NZL
104918,Andy,Murray,R,19870515.0,GBR
104919,Leonardo,Mayer,R,19870515.0,ARG
104925,Novak,Djokovic,R,19870522.0,SRB
104926,Fabio,Fognini,R,19870524.0,ITA
104970,Matteo,Viola,R,19870707.0,ITA
104978,Daniel,Brands,R,19870717.0,GER
104999,Mischa,Zverev,L,19870822.0,GER
105011,Illya,Marchenko,R,19870908.0,UKR
105015,Franco,Skugor,R,19870920.0,CRO
105023,Sam,Querrey,R,19871007.0,USA
105041,Lukas,Lacko,R,19871103.0,SVK
105051,Matthew,Ebden,R,19871126.0,AUS
105053,Santiago,Giraldo,R,19871127.0,COL
105062,Mikhail,Kukushkin,R,19871226.0,KAZ
105063,Andrea,Arnaboldi,L,19871227.0,ITA
105065,Tim,Smyczek,R,19871230.0,USA
105074,Ruben,Bemelmans,L,19880114.0,BEL
105077,Albert,Ramos,L,19880117.0,ESP
105091,Peter,Torebko,R,19880210.0,GER
105138,Roberto,Bautista Agut,R,19880414.0,ESP
105147,Tatsuma,Ito,R,19880518.0,JPN
105155,Pedro,Sousa,R,19880527.0,POR
105156,Federico,Zeballos,U,19880530.0,BOL
105163,Gleb,Sakharov,R,19880610.0,FRA
105166,Peter,Polansky,R,19880615.0,CAN
105173,Adrian,Mannarino,L,19880629.0,FRA
105208,Ernests,Gulbis,R,19880830.0,LAT
105216,Yuichi,Sugita,R,19880918.0,JPN
105217,Thiemo,De Bakker,R,19880919.0,NED
105223,Juan Martin,Del Potro,R,19880923.0,ARG
105226,Attila,Balazs,R,19880927.0,HUN
105227,Marin,Cilic,R,19880928.0,CRO
105254,Nikola,Mektic,R,19881224.0,CRO
105292,Alejandro,Gonzalez,R,19890207.0,COL
105311,Joao,Sousa,R,19890330.0,POR
105332,Benoit,Paire,R,19890508.0,FRA
105334,Luis David,Martinez,U,19890512.0,VEN
105339,Yan,Bai,R,19890521.0,CHN
105341,Thomas,Fabbiano,R,19890526.0,ITA
105349,Harri,Heliovaara,R,19890604.0,FIN
105357,John,Millman,R,19890614.0,AUS
105359,Jason,Jung,R,19890615.0,TPE
105373,Martin,Klizan,L,19890711.0,SVK
105376,Peter,Gojowczyk,R,19890715.0,GER
105379,Aljaz,Bedene,R,19890718.0,SLO
105385,Donald,Young,L,19890723.0,USA
105413,Andrej,Martin,R,19890920.0,SVK
105430,Radu,Albot,R,19891111.0,MDA
105432,Prajnesh,Gunneswaran,L,19891112.0,IND
105434,Ruan,Roelofse,R,19891118.0,RSA
105436,Markus,Eriksson,R,19891129.0,SWE
105449,Steve,Johnson,R,19891224.0,USA
105453,Kei,Nishikori,R,19891229.0,JPN
105477,Marco,Trungelliti,R,19900131.0,ARG
105487,Facundo,Bagnis,L,19900227.0,ARG
105493,Tomislav,Brkic,R,19900309.0,BIH
105497,Jose,Hernandez,U,19900313.0,DOM
105526,Jan Lennard,Struff,R,19900425.0,GER
105539,Evgeny,Donskoy,R,19900509.0,RUS
105550,Guido,Pella,L,19900517.0,ARG
105554,Daniel,Evans,R,19900523.0,GBR
105561,Alessandro,Giannessi,L,19900530.0,ITA
105575,Ricardas,Berankis,R,19900621.0,LTU
105577,Vasek,Pospisil,R,19900623.0,CAN
105583,Dusan,Lajovic,R,19900630.0,SRB
105585,Ze,Zhang,R,19900704.0,CHN
105613,Norbert,Gombos,R,19900813.0,SVK
105614,Bradley,Klahn,L,19900820.0,USA
105626,Takanyi,Garanganga,R,19900906.0,ZIM
105633,Mohamed,Safwat,R,19900919.0,EGY
105634,Viktor,Galovic,R,19900919.0,ITA
105641,Blaz,Rola,L,19901005.0,SLO
105643,Federico,Delbonis,L,19901005.0,ARG
105649,Cedrik Marcel,Stebe,L,19901009.0,GER
105656,Marcelo,Arevalo,R,19901017.0,ESA
105657,Marius,Copil,R,19901017.0,ROU
105676,David,Goffin,R,19901207.0,BEL
105683,Milos,Raonic,R,19901227.0,CAN
105688,Manuel,Sanchez,R,19910105.0,MEX
105731,Steven,Diez,R,19910317.0,CAN
105732,Pierre Hugues,Herbert,R,19910318.0,FRA
105747,Karim Mohamed,Maamoun,R,19910409.0,EGY
105757,Sandro,Ehrat,R,19910418.0,SUI
105777,Grigor,Dimitrov,R,19910516.0,BUL
105806,Mirza,Basic,R,19910712.0,BIH
105807,Pablo,Carreno Busta,R,19910712.0,ESP
105812,David,Agung Susanto,U,19910721.0,INA
105815,Tennys,Sandgren,R,19910722.0,USA
105819,Guido,Andreozzi,R,19910805.0,ARG
105827,Laurynas,Grigelis,R,19910814.0,LTU
105842,Di,Wu,R,19910914.0,CHN
105870,Yannick,Hanfmann,U,19911113.0,GER
105877,Emilio,Gomez,R,19911128.0,ECU
105882,Stefano,Travaglia,U,19911218.0,ITA
105899,Martin,Cuevas,R,19920114.0,URU
105902,James,Duckworth,R,19920121.0,AUS
105906,Kevin,Krawietz,R,19920124.0,GER
105916,Marton,Fucsovics,R,19920208.0,HUN
105932,Nikoloz,Basilashvili,R,19920223.0,GEO
105933,Roberto,Quiroz,L,19920223.0,ECU
105936,Filip,Krajinovic,R,19920227.0,SRB
105943,Federico,Gaio,R,19920305.0,ITA
105954,Peter,Nagy,U,19920317.0,HUN
105963,Arthur,De Greef,R,19920327.0,BEL
105967,Henri,Laaksonen,R,19920331.0,SUI
105985,Darian,King,R,19920426.0,BAR
105992,Ryan,Harrison,R,19920507.0,USA
106000,Damir,Dzumhur,R,19920520.0,BIH
106005,Constant,Lestienne,R,19920523.0,FRA
106021,Dragos,Dima,R,19920616.0,ROU
106031,Raymond,Sarmiento,R,19920724.0,USA
106032,Facundo,Arguello,R,19920804.0,ARG
106034,Yasutaka,Uchiyama,R,19920805.0,JPN
106043,Diego Sebastian,Schwartzman,R,19920816.0,ARG
106045,Denis,Kudla,R,19920817.0,USA
106058,Jack,Sock,R,19920924.0,USA
106065,Marco,Cecchinato,R,19920930.0,ITA
106071,Bernard,Tomic,R,19921021.0,AUS
106072,Alexey,Vatutin,U,19921027.0,RUS
106075,Jozef,Kovalik,R,19921104.0,SVK
106078,Egor,Gerasimov,R,19921111.0,BLR
106099,Salvatore,Caruso,R,19921215.0,ITA
106106,George,Tsivadze,U,19930102.0,GEO
106109,Alex,Bolt,L,19930105.0,AUS
106110,Filip,Horansky,R,19930107.0,SVK
106121,Taro,Daniel,R,19930127.0,JPN
106137,Tristan,Lamasine,R,19930305.0,FRA
106148,Roberto,Carballes Baena,R,19930323.0,ESP
106150,Jeson,Patrombon,R,19930327.0,PHI
106186,Jason,Kubler,R,19930519.0,AUS
106198,Hugo,Dellien,R,19930616.0,BOL
106203,Pedro,Sakamoto,U,19930629.0,BRA
106210,Jiri,Vesely,L,19930710.0,CZE
106214,Oscar,Otte,R,19930716.0,GER
106216,Bjorn,Fratangelo,R,19930719.0,USA
106218,Marcos,Giron,R,19930724.0,USA
106220,Dimitar,Kuzmanov,R,19930728.0,BUL
106223,Aleksandre,Metreveli,R,19930810.0,GEO
106227,Ji Sung,Nam,R,19930815.0,KOR
106228,Juan Ignacio,Londero,R,19930815.0,ARG
106232,Roberto,Cid,R,19930830.0,DOM
106233,Dominic,Thiem,R,19930903.0,AUT
106249,Joao,Domingues,R,19931005.0,POR
106283,Mitchell,Krueger,R,19940112.0,USA
106293,Kimmer,Coppejans,R,19940207.0,BEL
106296,Gregoire,Barrere,R,19940216.0,FRA
106298,Lucas,Pouille,R,19940223.0,FRA
106329,Thiago,Monteiro,L,19940531.0,BRA
106353,Pedja,Krstin,R,19940903.0,SRB
106368,Ramkumar,Ramanathan,R,19941108.0,IND
106378,Kyle,Edmund,R,19950108.0,GBR
106388,Pak Long,Yeung,U,19950214.0,HKG
106397,Wishaya,Trongcharoenchaikul,R,19950408.0,THA
106398,Pedro,Cachin,R,19950412.0,ARG
106401,Nick,Kyrgios,R,19950427.0,AUS
106412,Lucas,Gomez,U,19950811.0,MEX
106415,Yoshihito,Nishioka,L,19950927.0,JPN
106421,Daniil,Medvedev,R,19960211.0,RUS
106423,Thanasi,Kokkinakis,R,19960410.0,AUS
106426,Christian,Garin,R,19960530.0,CHI
106432,Borna,Coric,R,19961114.0,CRO
108739,Wilfredo,Gonzalez,R,19930106.0,GUA
109640,Andrea,Basso,L,19931008.0,ITA
109699,Julian,Lenz,R,19930217.0,GER
109739,Maximilian,Marterer,L,19950615.0,GER
110536,Kevin,King,U,19910228.0,USA
110602,Dennis,Novak,R,19930828.0,AUT
110748,Nikola,Milojevic,U,19950619.0,SRB
110778,Joao Lucas,Magalhaes Hueb De Menezes,R,19961217.0,BRA
111153,Christopher,Eubanks,R,19960505.0,USA
111190,Zhizhen,Zhang,U,19961016.0,CHN
111192,Lucas,Miedler,R,19960621.0,AUT
111200,Elias,Ymer,R,19960410.0,SWE
111202,Hyeon,Chung,R,19960519.0,KOR
111442,Jordan,Thompson,R,19940420.0,AUS
111453,Mikael,Torpegaard,R,19940508.0,DEN
111456,Mackenzie,Mcdonald,R,19950416.0,USA
111459,Arjun,Kadhe,R,19940107.0,IND
111460,Quentin,Halys,R,19961026.0,FRA
111511,Noah,Rubin,R,19960221.0,USA
111513,Laslo,Djere,R,19950602.0,SRB
111515,Thai Son,Kwiatkowski,U,19950213.0,USA
111574,Jc,Aragone,R,19950628.0,USA
111575,Karen,Khachanov,R,19960521.0,RUS
111576,Sumit,Nagal,R,19970816.0,IND
111577,Jared,Donaldson,R,19961009.0,USA
111581,Michael,Mmoh,R,19980110.0,USA
111761,Benjamin,Lock,R,19930304.0,ZIM
111790,Brayden,Schnur,R,19950704.0,CAN
111794,Kamil,Majchrzak,R,19960113.0,POL
111795,Filippo,Baldi,R,19960110.0,ITA
111797,Nicolas,Jarry,R,19951011.0,CHI
111815,Cameron,Norrie,L,19950823.0,GBR
117353,Duck Hee,Lee,R,19980529.0,KOR
117356,Cem,Ilkel,R,19950821.0,TUR
117360,Marc,Polmans,U,19970502.0,AUS
120424,Yannick,Maden,U,19891028.0,GER
121531,Mats,Moraing,L,19920620.0,GER
121896,Gabor,Borsos,U,19910630.0,HUN
122109,Sanjar,Fayziev,U,19940729.0,UZB
